pl_name,hostname,discoverymethod,disc_year,period,prad,teq,insol,dor,srad,smass,sage,steff,slogg,smet,ra,dec,disposition,source
Kepler-32 c,Kepler-32,Transit,2011,8.75,2.11,,,,,,5.6,,,,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.752167,1.99,497.0,,21.0,0.524,0.549,13.9,4061.0,4.74,,297.8423073,46.5743595,CONFIRMED,PS
Kepler-32 c,Kepler-32,Transit,2011,8.75245953,2.08,449.0,,,0.5,0.52,,3727.0,,0.04,297.8423073,46.5743595,CONFIRMED,PS
Kepler-259 c,Kepler-259,Transit,2014,36.924931,2.7,,,,0.898,,,5938.0,4.532,,288.2119707,46.6150461,CONFIRMED,PS
Kepler-259 c,Kepler-259,Transit,2014,36.9249531,2.71,530.0,18.7,61.36,0.887,0.978,,5926.0,4.532,-0.2,288.2119707,46.6150461,CONFIRMED,PS
Kepler-259 c,Kepler-259,Transit,2014,36.9249531,2.741,,15.5,,0.897,0.867,7.94,5511.0,,-0.09,288.2119707,46.6150461,CONFIRMED,PS
Kepler-259 c,Kepler-259,Transit,2014,36.9249531,2.71,530.0,18.7,61.36,0.887,0.978,,5926.0,4.532,-0.2,288.2119707,46.6150461,CONFIRMED,PS
Kepler-259 c,Kepler-259,Transit,2014,36.9249531,2.71,530.0,18.7,61.36,0.887,0.978,,5926.0,4.532,-0.2,288.2119707,46.6150461,CONFIRMED,PS
Kepler-259 c,Kepler-259,Transit,2014,36.9250409,3.01,530.0,18.7,34.3,0.887,0.978,,5926.0,4.532,-0.2,288.2119707,46.6150461,CONFIRMED,PS
Kepler-259 c,Kepler-259,Transit,2014,36.9249531,2.76,,,,0.9,0.93,4.47,5578.0,4.5,-0.03,288.2119707,46.6150461,CONFIRMED,PS
Kepler-259 c,Kepler-259,Transit,2014,36.92564,3.1,535.0,,40.0,0.91,1.015,0.4,5931.0,4.53,,288.2119707,46.6150461,CONFIRMED,PS
Kepler-148 c,Kepler-148,Transit,2014,4.180049552,3.55,962.0,202.06,13.38,0.838,0.893,,5271.0,4.543,0.14,289.7861626,46.8588176,CONFIRMED,PS
Kepler-148 c,Kepler-148,Transit,2014,4.1800659,3.1,929.0,,13.6,0.78,0.777,11.2,5187.0,4.55,,289.7861626,46.8588176,CONFIRMED,PS
Kepler-148 c,Kepler-148,Transit,2014,4.180048081,3.44,957.0,197.81,13.534,0.838,0.876,,5227.0,4.535,0.14,289.7861626,46.8588176,CONFIRMED,PS
Kepler-148 c,Kepler-148,Transit,2014,4.180049552,3.55,962.0,202.06,13.38,0.838,0.893,,5271.0,4.543,0.14,289.7861626,46.8588176,CONFIRMED,PS
Kepler-148 c,Kepler-148,Transit,2014,4.180049552,3.55,962.0,202.06,13.38,0.838,0.893,,5271.0,4.543,0.14,289.7861626,46.8588176,CONFIRMED,PS
Kepler-148 c,Kepler-148,Transit,2014,4.180043,3.6,,,,0.851,,,5272.0,4.546,,289.7861626,46.8588176,CONFIRMED,PS
Kepler-148 c,Kepler-148,Transit,2014,4.180049552,3.46,,,,0.81,0.86,4.68,5172.0,4.56,0.07,289.7861626,46.8588176,CONFIRMED,PS
Kepler-222 d,Kepler-222,Transit,2014,28.08194365,3.74,,,,0.84,0.88,4.79,5295.0,4.54,0.05,287.9060885,46.9377479,CONFIRMED,PS
Kepler-222 d,Kepler-222,Transit,2014,28.08194365,3.75,522.0,17.52,47.38,0.843,0.945,,5431.0,4.563,0.12,287.9060885,46.9377479,CONFIRMED,PS
